"material_id","category","matsynth_name","display_name","dominant_color","inference_prompt","license","source","source_url"
"0028","Concrete","acg_concrete_016","Concrete 016","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Concrete016"
"0029","Fabric","st_fabric_102","Fabric 102","gray","gray woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0030","Fabric","tc_fabrics_071","Fabrics 0071","black","black woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0031","Fabric","cgbc_fabric_001","Fabric 01","red","red woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/fabric-01"
"0032","Fabric","st_fabric_097","Fabric 97","gray","gray woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0033","Fabric","tc_fabric_034","Fabric 0034","orange","orange woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0034","Fabric","st_fabric_063_000","Fabric 63 0","orange","orange woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0035","Fabric","tc_fabric_014","Fabric 0014","black","black woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0036","Fabric","st_carpet_floor_007","Carpet Floor 7","cyan","cyan woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0037","Fabric","st_camouflage_016","Camouflage 16","gray","gray woven fabric textile matching the visible reference color and weave pattern, soft matte finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0038","Ground","ms_ground_055_s__snow_004","Ground 055 S (Small) X Snow 004","white","white rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0039","Ground","ms_ground_019__snow_006","Ground 019 X Snow 006","gray","gray rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0040","Ground","ms_gravel_031__grass_003","Gravel 031 X Grass 003","yellow","yellow rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0041","Ground","ms_gravel_025__snow_002","Gravel 025 X Snow 002","white","white rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0042","Ground","ms_gravel_008__grass_004","Gravel 008 X Grass 004","green","green rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0043","Ground","ms_gravel_003__grass_002","Gravel 003 X Grass 002","green","green rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0044","Ground","ms_ground_028__snow_002","Ground 028 X Snow 002","white","white rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0045","Ground","ms_ground_022__grass_002","Ground 022 X Grass 002","green","green rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0046","Ground","ms_ground_014__snow_010_a","Ground 014 X Snow 010 A","gray","gray rough granular ground surface matching the visible reference color and pattern, diffuse finish and irregular relief","CC0","matsynth",""
"0047","Leather","ms_leatherstitch_086","LeatherStitch 086","cyan","cyan leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","matsynth",""
"0048","Leather","acg_leather_033_c","Leather 033 C","red","red leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Leather033C"
"0049","Leather","cgbc_red_leather_002","Red Leather 02","red","red leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/red-leather-02"
"0050","Leather","st_white_leather","White Leather","white","white leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","sharetextures","https://www.sharetexture.com/"
"0051","Leather","ms_leatherstitch_083","LeatherStitch 083","green","green leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","matsynth",""
"0052","Leather","acg_leather_037","Leather 037","orange","orange leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Leather037"
"0053","Leather","ms_leatherstitch_082","LeatherStitch 082","red","red leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","matsynth",""
"0054","Leather","acg_leather_012","Leather 012","white","white leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Leather012"
"0055","Leather","ms_leather_012","Leather 012","red","red leather matching the visible reference color and grain, soft satin finish and low rounded relief","CC0","matsynth",""
"0056","Marble","cgbc_marble_004","Marble 04","cyan","cyan marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/marble-04"
"0057","Marble","acg_marble_020","Marble 020","white","white marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Marble020"
"0058","Marble","st_marble_036","Marble 36","white","white marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0059","Marble","cgbc_granite_006_large","Granite 06 Large","red","red marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/granite-06-large"
"0060","Marble","acg_marble_007","Marble 007","beige","beige marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Marble007"
"0061","Marble","st_red_onyx_002","Red Onyx 2","orange","orange marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0062","Marble","cgbc_granite_004_small","Granite 04 Small","white","white marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/granite-04-small"
"0063","Marble","acg_marble_026","Marble 026","white","white marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Marble026"
"0064","Marble","st_nero_zimbabwe_marble","Nero Zimbabwe Marble","gray","gray marble matching the visible reference color and veining, polished to satin finish and very low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0065","Metal","tc_metal_048","Metal 0048","orange","orange metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0066","Metal","cgbc_brushed_metal_tiles_004","Brushed Metal Tiles 04","white","white metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/brushed-metal-tiles-04"
"0067","Metal","th_container_side","Container Side","green","green metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","textures_heaven","https://polyhaven.com/a/container_side"
"0068","Metal","acg_chip_005","Chip 005","gray","gray metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Chip005"
"0069","Metal","st_metal_plate_004","Metal Plate 4","silver","silver metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0070","Metal","tc_metal_016","Metal 0016","white","white metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0071","Metal","cgbc_brushed_metal_tiles_003","Brushed Metal Tiles 03","white","white metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/brushed-metal-tiles-03"
"0072","Metal","th_green_metal_rust","Green Metal Rust","green","green metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","textures_heaven","https://polyhaven.com/a/green_metal_rust"
"0073","Metal","tc_metal_068","Metal 0068","gray","gray metal surface matching the visible reference color and pattern, metallic finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0074","Plastic","ms_plastic002_064","Plastic002 064","beige","beige plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","matsynth",""
"0075","Plastic","tc_plastic_018","Plastic 0018","gray","gray plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","texturecan","https://www.texturecan.com/"
"0076","Plastic","st_acoustic_panel_008","Acoustic Panel 8","gray","gray plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0077","Plastic","acg_plastic_016_b","Plastic 016 B","yellow","yellow plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Plastic016B"
"0078","Plastic","ms_plastic002_026","Plastic002 026","white","white plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","matsynth",""
"0079","Plastic","tc_plastic_017","Plastic 0017","white","white plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","texturecan","https://www.texturecan.com/"
"0080","Plastic","st_acoustic_panel_001","Acoustic Panel 1","gray","gray plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0081","Plastic","ms_plastic003_004","Plastic003 004","orange","orange plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","matsynth",""
"0082","Plastic","tc_plastic_010","Plastic 0010","blue","blue plastic surface matching the visible reference color and molded pattern, matte to satin finish and very low relief","CC0","texturecan","https://www.texturecan.com/"
"0083","Stone","acg_paving_stones_086","Paving Stones 086","brown","brown porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=PavingStones086"
"0084","Stone","ms_paving_stones_126_a__grass_001","Paving Stones 126 A X Grass 001","gray","gray porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","matsynth",""
"0085","Stone","th_medieval_wall_002","Medieval Wall 02","brown","brown porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","textures_heaven","https://polyhaven.com/a/medieval_wall_02"
"0086","Stone","st_pavement_015","Pavement 15","gray","gray porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","sharetextures","https://www.sharetexture.com/"
"0087","Stone","cgbc_paving_stone_010","Paving Stone 10","gray","gray porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","cgbookcase","https://www.cgbookcase.com/textures/paving-stone-10"
"0088","Stone","acg_paving_stones_068","Paving Stones 068","gray","gray porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=PavingStones068"
"0089","Stone","ms_paving_stones_115_c__grass_003","Paving Stones 115 C X Grass 003","yellow","yellow porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","matsynth",""
"0090","Stone","th_cobblestone_color","Cobblestone Color","gray","gray porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","textures_heaven","https://polyhaven.com/a/cobblestone_color"
"0091","Stone","st_pavement_004","Pavement 4","gray","gray porous stone surface matching the visible reference color, masonry pattern and joints, dry rough finish and moderate relief","CC0","sharetextures","https://www.sharetexture.com/"
"0092","Wood","acg_wood_071","Wood 071","orange","orange cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Wood071"
"0093","Wood","tc_wood_048","Wood 0048","orange","orange cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0094","Wood","th_plank_flooring","Plank Flooring","orange","orange cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","textures_heaven","https://polyhaven.com/a/plank_flooring"
"0095","Wood","st_wood_parquet_015","Wood Parquet 15","beige","beige cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","sharetextures","https://www.sharetexture.com/"
"0096","Wood","acg_wood_084_b","Wood 084 B (Used)","brown","brown cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Wood084B(Used)"
"0097","Wood","tc_wood_062","Wood 0062","orange","orange cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","texturecan","https://www.texturecan.com/"
"0098","Wood","th_green_rough_planks","Green Rough Planks","gray","gray cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","textures_heaven","https://polyhaven.com/a/green_rough_planks"
"0099","Wood","acg_wood_003","Wood 003","beige","beige cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Wood003"
"0100","Wood","acg_planks_025_c","Planks 025 C","brown","brown cork-like wood surface matching the visible reference color, grain and plank pattern, satin finish and low relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Planks025C"
